'大学ｺｰﾄﾞ,'学部ｺｰﾄﾞ,'学科ｺｰﾄﾞ,'日程ｺｰﾄﾞ,'方式ｺｰﾄﾞ,'小分類CD,'大学名,'学部名,'学科名,'日程,'入試方式,'小分類名,'募集単位,'県CD
'1060,'27,'01,'0,'0,'106,'弘前大　　　　,'人文社会,'文化創生　　,'　,'　　　,'文化学　　,'1,'02
'1060,'27,'02,'0,'0,'201,'弘前大　　　　,'人文社会,'社会経営　　,'　,'　　　,'法学　　　,'1,'02
'1060,'30,'00,'0,'0,'301,'弘前大　　　　,'教育　　,'　　　　　　,'　,'　　　,'小学校　　,'0,'02
'1060,'30,'15,'0,'0,'314,'弘前大　　　　,'教育　　,'養護教諭　　,'　,'　　　,'養護　　　,'1,'02
'1060,'30,'48,'0,'0,'313,'弘前大　　　　,'教育　　,'学校／特別支,'　,'　　　,'特別支援教,'1,'02
'1060,'30,'49,'0,'0,'301,'弘前大　　　　,'教育　　,'学校／小学校,'　,'　　　,'小学校　　,'1,'02
'1060,'30,'50,'0,'0,'302,'弘前大　　　　,'教育　　,'学校／国語　,'　,'　　　,'中高－国語,'1,'02
'1060,'30,'51,'0,'0,'305,'弘前大　　　　,'教育　　,'学校／社会　,'　,'　　　,'中高－社会,'1,'02
'1060,'30,'52,'0,'0,'303,'弘前大　　　　,'教育　　,'学校／数学　,'　,'　　　,'中高－数学,'1,'02
'1060,'30,'53,'0,'0,'306,'弘前大　　　　,'教育　　,'学校／理科　,'　,'　　　,'中高－理科,'1,'02
'1060,'30,'58,'0,'0,'308,'弘前大　　　　,'教育　　,'学校／家庭　,'　,'　　　,'中高－家庭,'1,'02
'1060,'30,'59,'0,'0,'304,'弘前大　　　　,'教育　　,'学校／英語　,'　,'　　　,'中高－英語,'1,'02
'1060,'47,'00,'0,'0,'501,'弘前大　　　　,'理工　　,'　　　　　　,'　,'　　　,'数学　　　,'0,'02
'1060,'47,'07,'0,'0,'555,'弘前大　　　　,'理工　　,'物質創成化　,'　,'　　　,'応用化学　,'1,'02
'1060,'47,'08,'0,'0,'552,'弘前大　　　　,'理工　　,'電子情報工　,'　,'　　　,'電気・電子,'1,'02
'1060,'47,'09,'0,'0,'501,'弘前大　　　　,'理工　　,'数物科学　　,'　,'　　　,'数学　　　,'1,'02
'1060,'47,'10,'0,'0,'507,'弘前大　　　　,'理工　　,'地球環境防災,'　,'　　　,'総合理学　,'1,'02
'1060,'47,'11,'0,'0,'551,'弘前大　　　　,'理工　　,'機械科学　　,'　,'　　　,'機械工学　,'1,'02
'1060,'47,'12,'0,'0,'562,'弘前大　　　　,'理工　　,'自然エネルギ,'　,'　　　,'原子力・エ,'1,'02
'1060,'55,'00,'0,'0,'105,'弘前大　　　　,'医　　　,'　　　　　　,'　,'　　　,'心理学　　,'0,'02
'1060,'55,'01,'0,'0,'601,'弘前大　　　　,'医　　　,'医　　　　　,'　,'　　　,'医　　　　,'1,'02
'1060,'55,'03,'0,'0,'651,'弘前大　　　　,'医　　　,'保健／看護学,'　,'　　　,'看護　　　,'1,'02
'1060,'55,'04,'0,'0,'657,'弘前大　　　　,'医　　　,'保健／放射線,'　,'　　　,'放射線技術,'1,'02
'1060,'55,'05,'0,'0,'658,'弘前大　　　　,'医　　　,'保健／検査技,'　,'　　　,'検査技術　,'1,'02
'1060,'55,'06,'0,'0,'655,'弘前大　　　　,'医　　　,'保健／理学療,'　,'　　　,'理学療法　,'1,'02
'1060,'55,'07,'0,'0,'656,'弘前大　　　　,'医　　　,'保健／作業療,'　,'　　　,'作業療法　,'1,'02
'1060,'55,'08,'0,'0,'105,'弘前大　　　　,'医　　　,'心理支援科学,'　,'　　　,'心理学　　,'1,'02
'1060,'74,'00,'0,'0,'504,'弘前大　　　　,'農学生命,'　　　　　　,'　,'　　　,'生物学　　,'0,'02
'1060,'74,'05,'0,'0,'504,'弘前大　　　　,'農学生命,'生物　　　　,'　,'　　　,'生物学　　,'1,'02
'1060,'74,'06,'0,'0,'504,'弘前大　　　　,'農学生命,'分子生命科学,'　,'　　　,'生物学　　,'1,'02
'1060,'74,'07,'0,'0,'703,'弘前大　　　　,'農学生命,'食料資源　　,'　,'　　　,'農芸化学　,'1,'02
'1060,'74,'08,'0,'0,'701,'弘前大　　　　,'農学生命,'国際園芸農　,'　,'　　　,'農学　　　,'1,'02
'1060,'74,'09,'0,'0,'704,'弘前大　　　　,'農学生命,'地域環境工　,'　,'　　　,'農業工学・,'1,'02
'1065,'27,'00,'0,'0,'106,'岩手大　　　　,'人文社会,'　　　　　　,'　,'　　　,'文化学　　,'0,'03
'1065,'27,'06,'0,'0,'106,'岩手大　　　　,'人文社会,'人間文化　　,'　,'　　　,'文化学　　,'1,'03
'1065,'27,'07,'0,'0,'202,'岩手大　　　　,'人文社会,'地域政策　　,'　,'　　　,'政治学　　,'1,'03
'1065,'30,'00,'0,'0,'301,'岩手大　　　　,'教育　　,'　　　　　　,'　,'　　　,'小学校　　,'0,'03
